geonameid;name;asciiname;latitude;longitude;feature code;country code;admin1 code;admin2 code;population;modification date
777197;Tana;Tana;70.19976;28.18494;ADM2;NO;05;2025;2951;2011-10-31
777394;Storfjord;Storfjord;69.2686;19.96089;ADM2;NO;18;1939;1869;2014-02-02
777554;Sør-Varanger;Sor-Varanger;69.72859;30.04264;ADM2;NO;05;2030;9623;2014-02-02
777680;Skjervøy;Skjervoy;70.03379;20.97365;ADM2;NO;18;1941;2897;2014-02-02
778430;Nordreisa;Nordreisa;69.76825;21.02569;ADM2;NO;18;1942;4694;2010-12-07
778459;Nordkapp;Nordkapp;70.97808;25.97473;ADM2;NO;05;2019;3180;2010-12-07
778559;Nesseby;Nesseby;69.88541;28.43368;ADM2;NO;05;2027;878;2014-02-02
778730;Måsøy;Masoy;70.99654;24.66146;ADM2;NO;05;2018;1309;2010-12-07
778840;Lyngen;Lyngen;69.57621;20.21702;ADM2;NO;18;1938;3166;2014-02-02
778877;Loppa;Loppa;70.23952;22.35136;ADM2;NO;05;2014;1087;2010-12-07
778967;Lebesby;Lebesby;70.94535;27.35134;ADM2;NO;05;2022;1332;2010-12-07
779143;Kvalsund;Kvalsund;70.4991;23.97393;ADM2;NO;05;2017;1044;2014-07-10
779159;Kvænangen;Kvaenangen;69.9389;22.04935;ADM2;NO;18;1943;1330;2010-12-07
779327;Kautokeino;Kautokeino;69.01151;23.04151;ADM2;NO;05;2011;2971;2014-10-25
779339;Karlsøy;Karlsoy;69.96185;19.61811;ADM2;NO;18;1936;2383;2014-02-02
779349;Karasjok;Karasjok;69.47224;25.51885;ADM2;NO;05;2021;2786;2014-02-02
779367;Kåfjord;Kafjord;69.604;20.53456;ADM2;NO;18;1940;2236;2014-02-03
779641;Hasvik;Hasvik;70.59164;22.30272;ADM2;NO;05;2015;970;2010-12-07
779933;Gamvik;Gamvik;71.04107;27.85144;ADM2;NO;05;2023;1025;2010-12-07
780166;Finnmark Fylke;Finnmark Fylke;70.0815;29.7358;ADM1;NO;05;;73074;2016-10-21
780686;Berlevåg;Berlevag;70.85723;29.0851;ADM2;NO;05;2024;1061;2015-12-20
780714;Båtsfjord;Batsfjord;70.63506;29.72149;ADM2;NO;05;2028;2074;2014-07-11
780946;Alta;Alta;69.97675;23.29634;ADM2;NO;05;2012;18488;2014-02-02
