ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
5A8,medium_airport,Aleknagik / New Airport,66,NA,US,US-AK,Aleknagik,5A8,WKK,5A8,"59.2826004028, -158.617996216"
AGGH,medium_airport,Honiara International Airport,28,OC,SB,SB-CT,Honiara,AGGH,HIR,,"-9.4280004501343, 160.05499267578"
AGGM,medium_airport,Munda Airport,10,OC,SB,SB-WE,,AGGM,MUA,,"-8.327969551086426, 157.26300048828125"
AHJ,medium_airport,Hongyuan Airport,11600,AS,CN,CN-51,Aba,ZUHY,AHJ,,"32.53154, 102.35224"
ANYN,medium_airport,Nauru International Airport,22,OC,NR,NR-14,Yaren District,ANYN,INU,,"-0.547458, 166.919006"
AU-0121,medium_airport,YKCY,400,OC,AU,AU-QLD,Kilcoy,,,,"-26.971197, 152.566855"
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,4560,AS,CN,CN-15,Bayanhot,ZBAL,AXF,,"38.74831, 105.58858"
AYBK,medium_airport,Buka Airport,11,OC,PG,PG-NSB,Buka Island,AYBK,BUA,,"-5.4223198890686035, 154.67300415039062"
AYCH,medium_airport,Chimbu Airport,4974,OC,PG,PG-CPK,Kundiawa,AYCH,CMU,,"-6.024290084838867, 144.9709930419922"
AYDU,medium_airport,Daru Airport,20,OC,PG,PG-WPD,Daru,AYDU,DAU,,"-9.08675956726, 143.207992554"
AYGA,medium_airport,Goroka Airport,5282,OC,PG,PG-EHG,Goronka,AYGA,GKA,,"-6.081689834590001, 145.391998291"
AYGN,medium_airport,Gurney Airport,88,OC,PG,PG-MBA,Gurney,AYGN,GUR,,"-10.3114995956, 150.333999634"
AYGR,medium_airport,Girua Airport,311,OC,PG,PG-NPP,Popondetta,AYGR,PNP,,"-8.80453968048, 148.309005737"
AYHK,medium_airport,Kimbe Airport,66,OC,PG,PG-WBK,Hoskins,AYHK,HKN,,"-5.462170124053955, 150.40499877929688"
AYKM,medium_airport,Kerema Airport,10,OC,PG,PG-GPK,Kerema,AYKM,KMA,,"-7.96361017227, 145.770996094"
AYKV,medium_airport,Kavieng Airport,7,OC,PG,PG-NIK,Kavieng,AYKV,KVG,,"-2.57940006256, 150.807998657"
AYMD,medium_airport,Madang Airport,20,OC,PG,PG-MPM,Madang,AYMD,MAG,,"-5.20707988739, 145.789001465"
AYMH,medium_airport,Mount Hagen Kagamuga Airport,5388,OC,PG,PG-WHM,Mount Hagen,AYMH,HGU,,"-5.826789855957031, 144.29600524902344"
AYMN,medium_airport,Mendi Airport,5680,OC,PG,PG-SHM,Mendi,AYMN,MDU,,"-6.14774, 143.656998"
AYMO,medium_airport,Momote Airport,12,OC,PG,PG-MRL,Manus Island,AYMO,MAS,,"-2.06189, 147.423996"
AYNZ,medium_airport,Nadzab Airport,239,OC,PG,PG-MPL,Lae,AYNZ,LAE,,"-6.569803, 146.725977"
AYPY,large_airport,Port Moresby Jacksons International Airport,146,OC,PG,PG-NCD,Port Moresby,AYPY,POM,,"-9.443380355834961, 147.22000122070312"
AYTK,medium_airport,Tokua Airport,32,OC,PG,PG-EBR,Tokua,AYTK,RAB,,"-4.34045982361, 152.380004883"
AYVN,medium_airport,Vanimo Airport,10,OC,PG,PG-SAN,Vanimo,AYVN,VAI,,"-2.6926, 141.3028"
AYWD,medium_airport,Wapenamanda Airport,5889,OC,PG,PG-EPW,,AYWD,WBM,,"-5.6433000564575195, 143.89500427246094"
AYWK,medium_airport,Wewak International Airport,19,OC,PG,PG-ESW,Wewak,AYWK,WWK,,"-3.58383011818, 143.669006348"
AZ-0001,medium_airport,Zabrat Airport,36,AS,AZ,AZ-BA,Baku,UBTT,ZXT,,"40.4955422161, 49.9768066406"
AZ-0013,medium_airport,Sital Chay Airport,,AS,AZ,AZ-XIZ,,,,,"40.8073129238, 49.431481361399996"
AZ-0021,medium_airport,Kyzylagadzh Air Base,,AS,AZ,AZ-MAS,,,,,"39.006162267899995, 48.806312084199995"
BCW,medium_airport,Benguera Island Airport,,AF,MZ,MZ-I,Benguera Island,,BCW,,"-21.853300094604492, 35.43830108642578"
BG-JAM,medium_airport,Bezmer Air Base,509,EU,BG,BG-28,Yambol,LBIA,JAM,,"42.4548988342, 26.3521995544"
BGAA,medium_airport,Aasiaat Airport,74,NA,GL,GL-U-A,Aasiaat,BGAA,JEG,,"68.7218017578, -52.7846984863"
BGBW,medium_airport,Narsarsuaq Airport,112,NA,GL,GL-U-A,Narsarsuaq,BGBW,UAK,,"61.1604995728, -45.4259986877"
BGGH,medium_airport,Godthaab / Nuuk Airport,283,NA,GL,GL-U-A,Nuuk,BGGH,GOH,,"64.19090271, -51.6781005859"
BGSF,medium_airport,Kangerlussuaq Airport,165,NA,GL,GL-U-A,Kangerlussuaq,BGSF,SFJ,,"67.0122218992, -50.7116031647"
BGTL,medium_airport,Thule Air Base,251,NA,GL,GL-U-A,Thule,BGTL,THU,,"76.5311965942, -68.7032012939"
